review,sentiment
"Amazing product, totally satisfied!",1
Worst experience ever.,0
Very helpful and good quality.,1
Not worth the price.,0
Highly recommended for daily use.,1
It broke within a week.,0
Great value for money!,1
Terrible customer support.,0
Loved the packaging and delivery speed.,1
"Poor build quality, not happy.",0
This is exactly what I needed.,1
I want a refund right now.,0
Fantastic experience overall!,1
Won’t buy this again.,0
"Superb quality, excellent finish.",1
It doesn’t work as described.,0
Definitely buying again!,1
Wasted my money.,0
Five stars! Great job!,1
Disappointing product.,0
Highly impressed with the performance.,1
Not useful at all.,0
Perfect for gifting.,1
Regret purchasing this.,0
Smooth operation and classy look.,1
Horrible design and cheap material.,0
Just wow!,1
Useless junk.,0
Exceeded my expectations.,1
Broke after first use.,0
A must-buy item!,1
Very bad packaging.,0
Great experience!,1
Defective piece received.,0
Extremely happy with this purchase.,1
The worst item I’ve ever bought.,0
Good for beginners.,1
Terrible instructions.,0
Super fast delivery!,1
Not recommended at all.,0
